roman,expected
I,1
i,1
II,2
ii,2
III,3
iii,3
IV,4
iv,4
V,5
v,5
VI,6
vi,6
VII,7
vii,7
VIII,8
viii,8
IX,9
ix,9
X,10
x,10
XI,11
xi,11
XIV,14
xiv,14
XV,15
xv,15
XIX,19
xix,19
XXIX,29
xxix,29
XXXIV,34
xxxiv,34
XLIX,49
xlix,49
LXXXIV,84
lxxxiv,84
XCIV,0
xciv,0
XCIX,0
xcix,0
CCCXCIV,0
cccxciv,0
CDXCIV,0
cdxciv,0
CMXCIV,0
cmxciv,0
MCMLXII,0
mcmlxii,0
MMCDIX,0
mmcdix,0
MMCDXCIV,0
mmcdxciv,0
CMXCIV,0
cmxciv,0
MMCMXCIX,0
mmcmxcix,0
IIVI,0
iivi,0
IIIVII,0
iiivii,0
sweet_bruh,0
iiixviii,0
xmxviviiiiv,0
MXMXVIVIXII,0
mxmxvivixii,0
MMCCCDLXIIIVIX,0
mmcccdlxiiivix,0
MMMCMCMCDIIIX,0
mmmcmcmcdiiix,0
MMMMCDCDCD,0
mmmmcdcdcd,0
I_am_Batman,0
ISIS_is_not_a_valid_Roman_Numeral,0
MMMMGood,0
mmmmgood,0
MMCMLXIJMMCD,0
mmcmlxijmmcd,0
LXHID,0
lxhid,0
IVXLCDME,0
ivxlcdme,0
SWEET_BRUH,-1
sweet_bruh,-1
